id1,id2,n_segments,total_shared_cm,max_segment_cm,mean_segment_cm,mean_lod,max_lod
HG00108,HG00177,1,0.506,0.506,0.506,5.01,5.01
HG00108,HG00263,1,0.596,0.596,0.596,14.09,14.09
HG00118,HG00122,1,0.507,0.507,0.507,17.74,17.74
HG00122,NA20126,1,0.562,0.562,0.562,21.67,21.67
HG00137,HG01052,1,0.568,0.568,0.568,8.3,8.3
HG00173,HG00335,1,0.51,0.51,0.51,12.4,12.4
HG00173,NA12272,1,0.528,0.528,0.528,4.91,4.91
HG00174,HG00357,1,0.562,0.562,0.562,20.34,20.34
HG00180,HG00336,1,0.529,0.529,0.529,8.76,8.76
HG00180,HG00384,1,0.518,0.518,0.518,10.96,10.96
HG00185,HG00309,1,0.639,0.639,0.639,26.42,26.42
HG00188,HG00739,1,0.506,0.506,0.506,10.58,10.58
HG00189,HG00282,1,0.504,0.504,0.504,20.94,20.94
HG00263,HG00264,2,1.435,0.835,0.7175,36.4,43.24
HG00268,HG00384,1,0.51,0.51,0.51,19.43,19.43
HG00271,HG00326,1,0.539,0.539,0.539,14.32,14.32
HG00275,HG00284,1,0.579,0.579,0.579,22.51,22.51
HG00278,HG00372,1,0.593,0.593,0.593,17.94,17.94
HG00282,HG00342,1,0.545,0.545,0.545,2.47,2.47
HG00309,HG00372,1,0.609,0.609,0.609,17.4,17.4
HG00319,HG00342,1,0.537,0.537,0.537,39.37,39.37
HG00328,HG01456,1,0.526,0.526,0.526,13.07,13.07
HG00334,HG00361,1,0.747,0.747,0.747,31.63,31.63
HG00357,HG00375,2,1.097,0.573,0.5485,12.59,15.28
HG00358,HG00376,1,0.521,0.521,0.521,14.79,14.79
HG00362,HG00376,2,1.154,0.586,0.577,22.92,34.04
HG00376,NA20866,1,0.514,0.514,0.514,18.44,18.44
HG00607,HG00620,1,0.553,0.553,0.553,10.51,10.51
HG00626,HG00708,1,0.524,0.524,0.524,11.24,11.24
HG00626,HG02384,1,0.524,0.524,0.524,11.92,11.92
HG00640,HG01191,1,0.79,0.79,0.79,22.65,22.65
HG00640,HG01474,1,0.559,0.559,0.559,24.48,24.48
HG00732,HG01170,1,0.554,0.554,0.554,43.51,43.51
